[09-Jul-2018 15:19:01 Europe/Berlin] PHP Notice:  Constant IMAGE_DIR_URL already defined in /Applications/XAMPP/xamppfiles/htdocs/projet_image/config.php on line 9
[09-Jul-2018 15:19:01 Europe/Berlin] PHP Notice:  Constant THUMB_DIR_PATH already defined in /Applications/XAMPP/xamppfiles/htdocs/projet_image/config.php on line 10
[09-Jul-2018 15:19:01 Europe/Berlin] PHP Notice:  Constant THUMB_DIR_URL already defined in /Applications/XAMPP/xamppfiles/htdocs/projet_image/config.php on line 11
[09-Jul-2018 15:19:01 Europe/Berlin] PHP Notice:  Undefined variable: filename in /Applications/XAMPP/xamppfiles/htdocs/projet_image/process/process_delete.php on line 23
[09-Jul-2018 15:19:01 Europe/Berlin] PHP Notice:  Undefined variable: insertImage in /Applications/XAMPP/xamppfiles/htdocs/projet_image/admin/admin.php on line 39
[09-Jul-2018 15:19:01 Europe/Berlin] PHP Notice:  Undefined variable: msg_error in /Applications/XAMPP/xamppfiles/htdocs/projet_image/admin/admin.php on line 40
[09-Jul-2018 15:19:01 Europe/Berlin] PHP Notice:  Undefined index: erreur in /Applications/XAMPP/xamppfiles/htdocs/projet_image/admin/admin.php on line 41
[09-Jul-2018 17:16:29 Europe/Berlin] PHP Notice:  Undefined index: COUNT(id) in /Applications/XAMPP/xamppfiles/htdocs/projet_image/class/User.php on line 35
[09-Jul-2018 17:27:22 Europe/Berlin] PHP Notice:  Undefined index: COUNT(u.id) in /Applications/XAMPP/xamppfiles/htdocs/projet_image/class/User.php on line 37
[09-Jul-2018 17:32:05 Europe/Berlin] PHP Warning:  Use of undefined constant md5 - assumed 'md5' (this will throw an Error in a future version of PHP) in /Applications/XAMPP/xamppfiles/htdocs/projet_image/class/User.php on line 22
[09-Jul-2018 17:42:30 Europe/Berlin] PHP Notice:  Constant WEB_TITLE already defined in /Applications/XAMPP/xamppfiles/htdocs/projet_image/config.php on line 3
[09-Jul-2018 17:42:30 Europe/Berlin] PHP Notice:  Constant WEB_DIR_NAME already defined in /Applications/XAMPP/xamppfiles/htdocs/projet_image/config.php on line 4
[09-Jul-2018 17:42:30 Europe/Berlin] PHP Notice:  Constant WEB_DIR_URL already defined in /Applications/XAMPP/xamppfiles/htdocs/projet_image/config.php on line 5
[09-Jul-2018 17:42:30 Europe/Berlin] PHP Notice:  Constant IMAGE_DIR_NAME already defined in /Applications/XAMPP/xamppfiles/htdocs/projet_image/config.php on line 6
[09-Jul-2018 17:42:30 Europe/Berlin] PHP Notice:  Constant IMAGE_THUMB_NAME already defined in /Applications/XAMPP/xamppfiles/htdocs/projet_image/config.php on line 7
[09-Jul-2018 17:42:30 Europe/Berlin] PHP Notice:  Constant IMAGE_DIR_PATH already defined in /Applications/XAMPP/xamppfiles/htdocs/projet_image/config.php on line 8
[09-Jul-2018 17:42:30 Europe/Berlin] PHP Notice:  Constant IMAGE_DIR_URL already defined in /Applications/XAMPP/xamppfiles/htdocs/projet_image/config.php on line 9
[09-Jul-2018 17:42:30 Europe/Berlin] PHP Notice:  Constant THUMB_DIR_PATH already defined in /Applications/XAMPP/xamppfiles/htdocs/projet_image/config.php on line 10
[09-Jul-2018 17:42:30 Europe/Berlin] PHP Notice:  Constant THUMB_DIR_URL already defined in /Applications/XAMPP/xamppfiles/htdocs/projet_image/config.php on line 11
